name	start	end	duration	earnings	date	per_hour	
poniedziałek 			0.0	0.0	2018-07-09 00:00:00	None	
wtorek 	11:00	18:00	7.0	119.81	2018-07-10 00:00:00	17.115714285714287	
środa 	11:50	17:20	5.5	94.14	2018-07-11 00:00:00	17.116363636363637	
czwartek 	11:50	19:45	7.916666666666667	135.5	2018-07-12 00:00:00	17.11578947368421	
piątek 	10:45	17:00	6.25	106.98	2018-07-13 00:00:00	17.1168	
sobota 			0.0	0.0	2018-07-14 00:00:00	None	
niedziela 			0.0	0.0	2018-07-15 00:00:00	None	
poniedziałek 			0.0	0.0	2018-07-16 00:00:00	None	
wtorek 	12:00	17:30	5.5	94.14	2018-07-17 00:00:00	17.116363636363637	
środa 	11:30	22:20	10.833333333333334	185.42	2018-07-18 00:00:00	17.115692307692306	
czwartek 	08:10	17:30	9.333333333333334	159.75	2018-07-19 00:00:00	17.116071428571427	
piątek 			0.0	0.0	2018-07-20 00:00:00	None	
sobota 			0.0	0.0	2018-07-21 00:00:00	None	
niedziela 			0.0	0.0	2018-07-22 00:00:00	None	
poniedziałek 	11:20	18:05	6.75	115.53	2018-07-23 00:00:00	17.115555555555556	
wtorek 	10:45	16:15	5.5	94.14	2018-07-24 00:00:00	17.116363636363637	
środa 	09:15	17:15	8.0	136.93	2018-07-25 00:00:00	17.11625	
czwartek 	09:00	17:00	8.0	136.93	2018-07-26 00:00:00	17.11625	
piątek 	11:45	20:30	8.75	149.77	2018-07-27 00:00:00	17.11657142857143	
sobota 	18:00	20:51	2.85	48.78	2018-07-28 00:00:00	17.11578947368421	
niedziela 			0.0	0.0	2018-07-29 00:00:00	None	
poniedziałek 	10:15	20:15	10.0	171.16	2018-07-30 00:00:00	17.116	
wtorek 	12:38	22:08	9.5	162.6	2018-07-31 00:00:00	17.11578947368421	
środa 	10:15	20:16	10.016666666666667	171.45	2018-08-01 00:00:00	17.11647254575707	
czwartek 	11:00	19:45	8.75	149.77	2018-08-02 00:00:00	17.11657142857143	
piątek 	10:15	20:00	9.75	166.88	2018-08-03 00:00:00	17.115897435897434	
sobota 			0.0	0.0	2018-08-04 00:00:00	None	
niedziela 			0.0	0.0	2018-08-05 00:00:00	None	
poniedziałek 	09:42	22:18	12.6	215.66	2018-08-06 00:00:00	17.115873015873017	
wtorek 	08:00	15:30	7.5	128.37	2018-08-07 00:00:00	17.116	
środa 	07:45	17:00	9.25	158.32	2018-08-08 00:00:00	17.115675675675675	
czwartek 	08:10	12:10	4.0	68.46	2018-08-09 00:00:00	17.115	
piątek 	10:42	14:00	3.283333333333333	56.2	2018-08-10 00:00:00	17.116751269035536	
sobota 	16:00	20:00	4.0	68.46	2018-08-11 00:00:00	17.115	
niedziela 	10:40	20:30	9.833333333333334	168.31	2018-08-12 00:00:00	17.116271186440677	
poniedziałek 	08:40	18:05	9.416666666666666	161.18	2018-08-13 00:00:00	17.11646017699115	
wtorek 	10:20	20:20	10.0	171.16	2018-08-14 00:00:00	17.116	
środa 	17:16	23:43	6.45	110.4	2018-08-15 00:00:00	17.116279069767444	
czwartek 	17:00	02:00	9.0	154.04	2018-08-16 00:00:00	17.115555555555556	
piątek 	09:37	15:17	5.65	96.71	2018-08-17 00:00:00	17.116814159292034	
sobota 			0.0	0.0	2018-08-18 00:00:00	None	
niedziela 			0.0	0.0	2018-08-19 00:00:00	None	
poniedziałek 	11:41	17:00	5.316666666666666	91.0	2018-08-20 00:00:00	17.11598746081505	
wtorek 	10:00	17:58	7.966666666666667	136.36	2018-08-21 00:00:00	17.1163179916318	
środa 	14:08	20:08	6.0	102.7	2018-08-22 00:00:00	17.116666666666667	
czwartek 	11:39	17:51	6.183333333333334	105.83	2018-08-23 00:00:00	17.115363881401617	
piątek 	13:14	23:06	9.866666666666667	168.88	2018-08-24 00:00:00	17.116216216216216	
sobota 			0.0	0.0	2018-08-25 00:00:00	None	
niedziela 			0.0	0.0	2018-08-26 00:00:00	None	
